Time,Channel A,Channel B
(ms),(mV),(V)

-493.42463274,2.38044400,0.00000000
-493.38367274,-5.55436900,-0.00793481
-493.34271274,-11.10874000,-0.01586962
-493.30175274,-8.72829300,-0.00793481
-493.26079274,-4.76088700,-0.00793481
-493.21983274,3.17392500,-0.00793481
-493.17887274,7.14133100,-0.00793481
-493.13791274,7.14133100,-0.00793481
-493.09695274,4.76088700,-0.00793481
-493.05599274,-0.79348120,-0.00793481
-493.01503274,-6.34785000,-0.00793481
-492.97407274,-10.31526000,-0.00793481
-492.93311274,-7.14133100,-0.00793481
-492.89215274,0.00000000,-0.01586962
-492.85119274,3.96740600,0.00000000
-492.81023274,7.93481200,-0.01586962
-492.76927274,6.34785000,-0.01586962
-492.72831274,3.96740600,0.00000000
-492.68735274,-4.76088700,0.00000000
-492.64639274,-10.31526000,-0.00793481
-492.60543274,-9.52177400,-0.00793481
-492.56447274,-4.76088700,-0.00793481
-492.52351274,2.38044400,-0.00793481
-492.48255274,6.34785000,-0.00793481
-492.44159274,8.72829300,-0.00793481
-492.40063274,5.55436900,-0.00793481
-492.35967274,0.79348120,0.00000000
-492.31871274,-7.14133100,-0.00793481
-492.27775274,-9.52177400,-0.00793481
-492.23679274,-7.14133100,-0.00793481
-492.19583274,-3.17392500,-0.01586962
-492.15487274,4.76088700,-0.02380444
-492.11391274,7.93481200,-0.00793481
-492.07295274,7.14133100,-0.00793481
-492.03199274,4.76088700,-0.00793481
-491.99103274,-2.38044400,-0.00793481
-491.95007274,-10.31526000,0.00000000
-491.90911274,-10.31526000,-0.01586962
-491.86815275,-7.14133100,-0.00793481
-491.82719275,1.58696200,-0.01586962
-491.78623275,5.55436900,-0.01586962
-491.74527275,7.93481200,-0.01586962
-491.70431275,4.76088700,-0.00793481
-491.66335275,0.79348120,-0.00793481
-491.62239275,-4.76088700,-0.01586962
-491.58143275,-10.31526000,-0.00793481
-491.54047275,-7.14133100,-0.01586962
-491.49951275,-1.58696200,-0.01586962
-491.45855275,2.38044400,-0.00793481
-491.41759275,7.93481200,-0.01586962
-491.37663275,8.72829300,-0.00793481
-491.33567275,3.96740600,-0.02380444
-491.29471275,-3.96740600,-0.00793481
-491.25375275,-7.93481200,-0.01586962
-491.21279275,-8.72829300,-0.01586962
-491.17183275,-7.14133100,-0.00793481
-491.13087275,0.79348120,-0.00793481
-491.08991275,5.55436900,-0.02380444
-491.04895275,7.93481200,-0.00793481
-491.00799275,5.55436900,-0.00793481
-490.96703275,-0.79348120,-0.01586962
-490.92607275,-6.34785000,-0.00793481
-490.88511275,-10.31526000,-0.01586962
-490.84415275,-9.52177400,-0.01586962
-490.80319275,-3.96740600,-0.00793481
-490.76223275,3.96740600,-0.01586962
-490.72127275,6.34785000,-0.00793481
-490.68031275,8.72829300,-0.00793481
-490.63935275,2.38044400,-0.01586962
-490.59839275,-1.58696200,-0.01586962
-490.55743275,-7.93481200,-0.00793481
-490.51647275,-9.52177400,-0.02380444
-490.47551275,-5.55436900,-0.02380444
-490.43455275,0.00000000,-0.01586962
-490.39359275,7.14133100,-0.00793481
-490.35263275,8.72829300,-0.01586962
-490.31167275,7.14133100,-0.01586962
-490.27071275,-0.79348120,-0.02380444
-490.22975276,-4.76088700,-0.01586962
-490.18879276,-10.31526000,-0.03173925
-490.14783276,-10.31526000,-0.00793481
-490.10687276,-2.38044400,-0.02380444
-490.06591276,3.96740600,-0.01586962
-490.02495276,8.72829300,-0.01586962
-489.98399276,7.93481200,-0.02380444
-489.94303276,3.17392500,-0.02380444
-489.90207276,-1.58696200,-0.01586962
-489.86111276,-7.93481200,-0.02380444
-489.82015276,-10.31526000,-0.02380444
-489.77919276,-4.76088700,-0.01586962
-489.73823276,0.00000000,-0.02380444
-489.69727276,6.34785000,-0.02380444
-489.65631276,8.72829300,-0.01586962
-489.61535276,7.14133100,-0.01586962
-489.57439276,2.38044400,-0.01586962
-489.53343276,-6.34785000,-0.03173925
-489.49247276,-8.72829300,-0.03173925
-489.45151276,-7.93481200,-0.02380444
-489.41055276,0.00000000,-0.02380444
-489.36959276,4.76088700,-0.03173925
-489.32863276,7.93481200,-0.02380444
-489.28767276,6.34785000,-0.02380444
-489.24671276,1.58696200,-0.01586962
-489.20575276,-3.17392500,-0.03173925
-489.16479276,-7.93481200,-0.01586962
-489.12383276,-10.31526000,-0.02380444
-489.08287276,-4.76088700,-0.02380444
-489.04191276,0.00000000,-0.02380444
-489.00095276,5.55436900,-0.02380444
-488.95999276,8.72829300,-0.02380444
-488.91903276,5.55436900,-0.01586962
-488.87807276,1.58696200,-0.02380444
-488.83711276,-7.93481200,-0.03173925
-488.79615276,-10.31526000,-0.02380444
-488.75519276,-7.93481200,-0.03173925
-488.71423276,-2.38044400,-0.03173925
-488.67327276,4.76088700,-0.02380444
-488.63231276,7.93481200,-0.02380444
-488.59135277,6.34785000,-0.02380444
-488.55039277,4.76088700,-0.02380444
-488.50943277,-1.58696200,-0.02380444
-488.46847277,-8.72829300,-0.03173925
-488.42751277,-10.31526000,-0.01586962
-488.38655277,-4.76088700,-0.03173925
-488.34559277,0.00000000,-0.03173925
-488.30463277,7.14133100,-0.01586962
-488.26367277,8.72829300,-0.03967406
-488.22271277,5.55436900,-0.03967406
-488.18175277,2.38044400,-0.01586962
-488.14079277,-5.55436900,-0.02380444
-488.09983277,-10.31526000,-0.03173925
-488.05887277,-10.31526000,-0.03967406
-488.01791277,-3.96740600,-0.02380444
-487.97695277,2.38044400,-0.03967406
-487.93599277,6.34785000,-0.02380444
-487.89503277,8.72829300,-0.03173925
-487.85407277,3.96740600,-0.03967406
-487.81311277,-0.79348120,-0.03967406
-487.77215277,-8.72829300,-0.02380444
-487.73119277,-10.31526000,-0.02380444
-487.69023277,-7.14133100,-0.03173925
-487.64927277,1.58696200,-0.03173925
-487.60831277,5.55436900,-0.03173925
-487.56735277,7.14133100,-0.03173925
-487.52639277,7.93481200,-0.02380444
-487.48543277,4.76088700,-0.03173925
-487.44447277,-2.38044400,-0.02380444
-487.40351277,-9.52177400,-0.03173925
-487.36255277,-8.72829300,-0.03967406
-487.32159277,-6.34785000,-0.03173925
-487.28063277,3.17392500,-0.03967406
-487.23967277,7.14133100,-0.04760887
-487.19871277,8.72829300,-0.03967406
-487.15775277,5.55436900,-0.03967406
-487.11679277,1.58696200,-0.03173925
-487.07583277,-7.14133100,-0.03173925
-487.03487277,-11.10874000,-0.03967406
-486.99391277,-10.31526000,-0.02380444
-486.95295278,-3.96740600,-0.02380444
-486.91199278,3.96740600,-0.03173925
-486.87103278,7.93481200,-0.04760887
-486.83007278,8.72829300,-0.03173925
-486.78911278,4.76088700,-0.03173925
-486.74815278,-0.79348120,-0.03173925
-486.70719278,-7.93481200,-0.03967406
-486.66623278,-10.31526000,-0.03967406
-486.62527278,-3.96740600,-0.02380444
-486.58431278,0.00000000,-0.03967406
-486.54335278,4.76088700,-0.03173925
-486.50239278,8.72829300,-0.03967406
-486.46143278,7.93481200,-0.03173925
-486.42047278,2.38044400,-0.03967406
-486.37951278,-1.58696200,-0.03967406
-486.33855278,-10.31526000,-0.03173925
-486.29759278,-10.31526000,-0.03967406
-486.25663278,-3.96740600,-0.03173925
-486.21567278,3.17392500,-0.03173925
-486.17471278,6.34785000,-0.03173925
-486.13375278,7.93481200,-0.03967406
-486.09279278,5.55436900,-0.03967406
-486.05183278,0.79348120,-0.04760887
-486.01087278,-5.55436900,-0.03967406
-485.96991278,-10.31526000,-0.03967406
-485.92895278,-7.93481200,-0.03967406
-485.88799278,-2.38044400,-0.04760887
-485.84703278,2.38044400,-0.03173925
-485.80607278,7.14133100,-0.02380444
-485.76511278,7.93481200,-0.03967406
