,"Fabry Perot Initial fringes measurements, no amplifiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabry,Path Difference (microns),Errors (microns),Vmax,error in V max,V min,Errror in Vmin,,,,,,,,,,,,,,,,,,,,,,,
,0,5,4.762,91.62,3.968,56.11,,,,,,,,,,,,,,,,,,,,,,,
,200,5,5.234,215.6,3.615,181.2,,,,,,,,,,,,,,,,,,,,,,,
,400,5,5.222,179.1,3.607,130,,,,,,,,,,,,,,,,,,,,,,,
,600,5,5.032,174.4,3.611,170.6,,,,,,,,,,,,,,,,,,,,,,,
,700,5,5.686,63.71,2.952,107,,,,,,,,,,,,,,,,,,,,,,,
,800,5,6.155,342.2,2.369,200,,,,,,,,,,,,,,,,,,,,,,,
,900,5,7.222,35.25,1.44,29.07,,,,,,,,,,,,,,,,,,,,,,,
,1000,5,7.698,217.3,1.012,107.5,,,,,,,,,,,,,,,,,,,,,,,
,1100,5,7.841,100.2,0.7022,85.77,,,,,,,,,,,,,,,,,,,,,,,
,1200,5,7.726,39.88,0.853,46.59,,,,,,,,,,,,,,,,,,,,,,,
,1300,5,7.54,217.5,1.131,232.2,,,,,,,,,,,,,,,,,,,,,,,
,1400,5,6.869,78.4,1.798,72.24,,,,,,,,,,,,,,,,,,,,,,,
,1500,5,6.393,116.3,2.282,106.5,,,,,,,,,,,,,,,,,,,,,,,
,1600,5,6.012,177,2.666,149,,,,,,,,,,,,,,,,,,,,,,,
,1700,5,5.881,128.5,3.044,151.2,,,,,,,,,,,,,,,,,,,,,,,
,1800,5,5.772,167.9,3.357,124.7,,,,,,,,,,,,,,,,,,,,,,,
,1900,5,5.214,236.2,3.575,226.6,,,,,,,,,,,,,,,,,,,,,,,
,2000,5,4.936,281,3.817,155.1,,,,,,,,,,,,,,,,,,,,,,,
,2100,5,5.206,277.6,3.948,124.2,,,,,,,,,,,,,,,,,,,,,,,
,2200,5,5.492,131,3.762,86.92,,,,,,,,,,,,,,,,,,,,,,,
,2300,5,5.567,260.7,3.73,163,,,,,,,,,,,,,,,,,,,,,,,
,2400,5,5.686,238.7,3.567,167.2,,,,,"Fabry (fixing I2, changing I1, both started at 0,0)",,,took on 21st Mon,,"More measurements for fabry Perot, no amplification",,,,,,,,,,,,,
,2500,5,6.008,227.5,3.528,119.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Path Difference,Vmax,Error,Vmin,Error,,,,,,Path Difference,Vmax,Error,Vmin,Error,,,,
,0,0.09095074456,,fabry,,,,,,,0,5.869,271,3.712,381,0.2251330759,,0,0.2251330759,,,,,,,,,,
,200,0.1829585264,,,,,,,,,200,5.808,221,3.853,339,0.2023600041,,200,0.2023600041,,,,,,,,,,
,400,0.182919923,,,,,,,,,400,5.737,296,4.093,250,0.1672431333,,400,0.1672431333,,400,2.73,59.82,1.873,74.61,0.1861829242,,400,0.1861829242
,600,0.1644105056,,,,,,,,,600,6.597,356,3.234,257,0.3420811718,,600,0.3420811718,,600,6.597,356,3.234,257,0.3420811718,,600,0.3420811718
,700,0.316508451,,,,,,,,,800,8.102,182,1.681,111,0.6563426352,,800,0.6563426352,,800,8.102,182,1.681,111,0.6563426352,,800,0.6563426352
,800,0.4441576725,,,,,,,,,1000,9.176,69,0.6165,34,0.8740873117,,1000,0.8740873117,,1000,9.176,69,0.6165,34,0.8740873117,,1000,0.8740873117
,900,0.6675132764,,,,,,,,,1200,8.805,73,1.071,41,0.7831105711,,1200,0.7831105711,,1200,8.805,73,1.071,41,0.7831105711,,1200,0.7831105711
,1000,0.7676234214,,,,,,,,,1400,7.358,277,2.403,170,0.5076324147,,1400,0.5076324147,,1400,7.358,277,2.403,170,0.5076324147,,1400,0.5076324147
