,,,,,,,,,,,,,,,,,,,
fabry,Path Difference (microns),Errors,Vmax,error in V max,V min,Errror in Vmin,,,,,,,,,,,,,
,,,,,,,,,,,7400,8.469,107,1.265,19,0.7400862955,,7400,0.7400862955
,Path Difference (microns),Errors,Vmax,error in V max,V min,Errror in Vmin,S(delta),,,,7600,7.154,376,2.653,278,0.4589578872,,7600,0.4589578872
,17000,,3.123,27.61,2.976,18.65,0.02410231185,,,,7800,6.071,306,3.641,256,0.2502059308,,7800,0.2502059308
,17050,,3.101,14.53,2.982,14.52,0.01956271577,,,,8000,6.243,171,3.492,50,0.2825885978,,8000,0.2825885978
,17100,,3.095,16,2.988,18.65,0.01759000493,,,,8200,5.794,170,3.809,95,0.2067062376,,8200,0.2067062376
,17150,,3.135,0,2.944,14.53,0.03141964139,,,,8400,5.674,225,3.998,278,0.1732837055,,8400,0.1732837055
,17200,,3.135,0,2.936,0,0.03277878438,,,,8600,5.535,118,3.998,133,0.1612294136,,8600,0.1612294136
,17250,,3.123,17.63,2.976,0,0.02410231185,,,,8800,5.992,347,3.7,287,0.2364836979,,8800,0.2364836979
,17300,,3.135,12.21,2.981,12.21,0.02517985612,,,,9000,7.381,137,2.279,119,0.5281573499,,9000,0.5281573499
,17350,,3.095,0,3.016,14.28,0.01292750777,,,,9200,8.646,77,1.036,44,0.7859946292,,9200,0.7859946292
,17400,,3.202,19.41,2.897,0,0.05000819807,,,,9400,8.661,123,1.032,41,0.7870628288,,9400,0.7870628288
,17450,,3.119,19.41,2.976,0,0.02346185398,,,,9600,7.579,84,2.163,101,0.5559433381,,9600,0.5559433381
,17500,,3.099,12.21,2.992,18.65,0.01756690199,,,,9800,6.331,291,3.36,272,0.3065731091,,,
,17550,,3.095,0,3.002,19.41,0.01525340331,,,,10000,6.26,116,3.393,118,0.2970061121,,,
,17600,,3.282,21.66,2.807,16.28,0.07800952537,,,,10200,,,,,#DIV/0!,,,
,17630,,4.794,121.5,1.184,99.29,0.6038808966,,,,10400,,,,,#DIV/0!,,,
,17640,,5.543,35.42,0.4682,59.13,0.844224115,,,,10600,,,,,,,,
,17650,,5.738,40.7,0.2579,32.58,0.9139745493,,,,10800,,,,,,,,
,17660,,5.547,0,0.554,0,0.8183904278,,,,11000,,,,,,,,
,17670,,4.794,54.61,1.27,0,0.5811345646,,,,,,,,,,,,
,17700,,3.329,0,2.698,14.2,0.1046955368,,,,,,,,,,,,
,17750,,3.095,0,2.948,20.07,0.02432566606,,,,,,,,,,,,
,17800,,3.095,0,3.004,32.56,0.01492047877,,,,,,,,,,,,
,17850,,3.095,0,2.964,37.31,0.02162072949,,,,,,,,,,,,
,17900,,3.095,0,2.936,0,0.0263637871,,,,,,,,,,,,
,17950,,3.095,0,3,29.07,0.01558654635,,,,,,,,,,,,
,18000,,3.095,0,2.936,0,0.0263637871,,,,,,,,,,,,
,18050,,3.175,0,2.857,0,0.05271883289,,,,,,,,,,,,
,18100,,3.095,0,2.94,17.74,0.02568351284,,,,,,,,,,,,
,18150,,3.095,0,2.948,29.07,0.02432566606,,,,,,,,,,,,
,18200,,3.095,0,2.936,11.2,0.0263637871,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,0,0.02410231185,,,,,,,,,,,,,,,,,
,50,0.01956271577,,,,,,,,,,,,,,,,,
,100,0.01759000493,,,,,,,,,,,,,,,,,
,150,0.03141964139,,,,,,,,,,,,,,,,,
,200,0.03277878438,,,,,,,,,,,,,,,,,
,250,0.02410231185,,,,,,,,,,,,,,,,,
,300,0.02517985612,,,,,,,,,,,,,,,,,
,350,0.01292750777,,,,,,,,,,,,,,,,,
,400,0.05000819807,,,,,,,,,,,,,,,,,
,450,0.02346185398,,,,,,,,,,,,,,,,,
,500,0.01756690199,,,,,,,,,,,,,,,,,
,550,0.01525340331,,,,,,,,,,,,,,,,,
,600,0.07800952537,,,,,,,,,,,,,,,,,
,630,0.6038808966,,,,,,,,,,,,,,,,,
,640,0.844224115,,,,,,,,,,,,,,,,,
,650,0.9139745493,,,,,,,,,,,,,,,,,
,660,0.8183904278,,,,,,,,,,,,,,,,,
,670,0.5811345646,,,,,,,,,,,,,,,,,
,700,0.1046955368,,,,,,,,,,,,,,,,,
,750,0.02432566606,,,,,,,,,,,,,,,,,
,800,0.01492047877,,,,,,,,,,,,,,,,,
,850,0.02162072949,,,,,,,,,,,,,,,,,
,900,0.0263637871,,,,,,,,,,,,,,,,,
,950,0.01558654635,,,,,,,,,,,,,,,,,
,1000,0.0263637871,,,,,,,,,,,,,,,,,
,1050,0.05271883289,,,,,,,,,,,,,,,,,
,1100,0.02568351284,,,,,,,,,,,,,,,,,
,1150,0.02432566606,,,,,,,,,,,,,,,,,
,1200,0.0263637871,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"40mV minimum, when both lights are blocked",,,,,,,,,,,,,,,,,,
,3.28V,for I_1 (the one above),,,,,,,,,,,,,,,,,
,1.60V,for I_2 (the one below),,,,,,,,,,,,,,,,,
SLD,,,,,,,,,,,,,,,,,,,
,Path Difference (microns),Vmax,error in V max,V min,Errror in Vmin,C(∂),,,,,,,,,,,,,
,15000,3.73,0,3.492,0,0.03295486015,0.03295486015,,,,,,,,,,,,
,15050,0,,,,#DIV/0!,0,,,,,,,,,,,,
,15100,0,,,,#DIV/0!,0,,,,,,,,,,,,
,15150,0,,,,#DIV/0!,0,,,,,,,,,,,,
,15200,0,,,,#DIV/0!,0,,,,,,,,,,,,
,15250,3.73,12.21,3.492,0,0.03295486015,0.03295486015,,,,,,,,,,,,
,15300,,,,,#DIV/0!,0,,,,,,,,,,,,
,15350,,,,,#DIV/0!,0,,,,,,,,,,,,
,15400,,,,,#DIV/0!,0,,,,,,,,,,,,
,15450,,,,,#DIV/0!,0,,,,,,,,,,,,
,15500,,,,,#DIV/0!,0,,,,,,,,,,,,
,15550,,,,,#DIV/0!,0,,,,,,,,,,,,
,15600,,,,,#DIV/0!,0,,,,,,,,,,,,
,15650,,,,,#DIV/0!,0,,,,,,,,,,,,
,15700,,,,,#DIV/0!,0,,,,,,,,,,,,
,15750,,,,,#DIV/0!,0,,,,,,,,,,,,
,15800,,,,,#DIV/0!,0,,,,,,,,,,,,
,15850,,,,,#DIV/0!,0,,,,,,,,,,,,
,15900,3.928,19,3.518,9,0.05506312114,0.05506312114,,,,,,,,,,,,
,15950,,,,,#DIV/0!,0,,,,,,,,,,,,
,16000,,,,,#DIV/0!,0,,,,,,,,,,,,
,16050,,,,,#DIV/0!,0,,,,,,,,,,,,
,16100,3.889,8,3.571,0,0.04262734584,0.04262734584,,,,,,,,,,,,
,16150,,,,,#DIV/0!,0,,,,,,,,,,,,
,16200,,,,,#DIV/0!,0,,,,,,,,,,,,
,16250,,,,,#DIV/0!,0,,,,,,,,,,,,
,16300,,,,,#DIV/0!,0,,,,,,,,,,,,
,16350,3.849,8,3.611,9,0.03190348525,0.03190348525,,,,,,,,,,,,
,16400,,,,,#DIV/0!,0,,,,,,,,,,,,
,16450,,,,,#DIV/0!,0,,,,,,,,,,,,
,16500,,,,,#DIV/0!,0,,,,,,,,,,,,
,16550,3.849,8,3.611,9,0.03190348525,0.03190348525,,,,,,,,,,,,
,16600,,,,,#DIV/0!,0,,,,,,,,,,,,
,16650,,,,,#DIV/0!,0,,,,,,,,,,,,
,16700,,,,,#DIV/0!,0,,,,,,,,,,,,
,16750,3.968,0,3.452,0,0.06954177898,0.06954177898,,,,,,,,,,,,
,16800,4.008,20,3.413,20,0.0801778736,0.0801778736,,,,,,,,,,,,
,16850,,,,,#DIV/0!,0,,,,,,,,,,,,
,16900,,,,,#DIV/0!,0,,,,,,,,,,,,
,16950,,,,,#DIV/0!,0,,,,,,,,,,,,
,17000,,,,,#DIV/0!,0,,,,,,,,,,,,
,17050,,,,,#DIV/0!,0,,,,,,,,,,,,
,17100,,,,,#DIV/0!,0,,,,,,,,,,,,
,17150,,,,,#DIV/0!,0,,,,,,,,,,,,
,17200,3.887,8,3.571,8,0.04237060874,0.04237060874,,,,,,,,,,,,
,17250,,,,,#DIV/0!,0,,,,,,,,,,,,
,17300,,,,,#DIV/0!,0,,,,,,,,,,,,
,17350,,,,,#DIV/0!,0,,,,,,,,,,,,
,17400,,,,,#DIV/0!,0,,,,,,,,,,,,
,17450,,,,,#DIV/0!,0,,,,,,,,,,,,
,17500,,,,,#DIV/0!,0,,,,,,,,,,,,
,17550,,,,,#DIV/0!,0,,,,,,,,,,,,
,17600,,,,,#DIV/0!,0,,,,,,,,,,,,
,17650,6.428,29,1.032,29,0.7233243968,0.7233243968,,,,,,,,,,,,
,17700,5.317,32,2.143,37,0.4254691689,0.4254691689,,,,,,,,,,,,
,17750,3.815,20,3.611,18,0.02747104767,0.02747104767,,,,,,,,,,,,
,17800,,,,,#DIV/0!,0,,,,,,,,,,,,
,17850,,,,,#DIV/0!,0,,,,,,,,,,,,
,17900,,,,,#DIV/0!,0,,,,,,,,,,,,
,17950,,,,,#DIV/0!,0,,,,,,,,,,,,
,18000,,,,,#DIV/0!,0,,,,,,,,,,,,
,18050,,,,,#DIV/0!,0,,,,,,,,,,,,
,18100,3.928,8,3.492,9,0.05876010782,0.05876010782,,,,,,,,,,,,
,18150,,,,,#DIV/0!,0,,,,,,,,,,,,
,18200,,,,,#DIV/0!,0,,,,,,,,,,,,
,18250,,,,,#DIV/0!,0,,,,,,,,,,,,
,18300,,,,,#DIV/0!,0,,,,,,,,,,,,
,18350,,,,,#DIV/0!,0,,,,,,,,,,,,
,18400,,,,,#DIV/0!,0,,,,,,,,,,,,
,18450,,,,,#DIV/0!,0,,,,,,,,,,,,
,18500,,,,,#DIV/0!,0,,,,,,,,,,,,
,18550,,,,,#DIV/0!,0,,,,,,,,,,,,
,18600,3.786,19,3.623,20,0.02200026994,0.02200026994,,,,,,,,,,,,
,18650,,,,,#DIV/0!,0,,,,,,,,,,,,
,18700,,,,,#DIV/0!,0,,,,,,,,,,,,
,18750,,,,,#DIV/0!,0,,,,,,,,,,,,
,18800,,,,,#DIV/0!,0,,,,,,,,,,,,
,18850,,,,,#DIV/0!,0,,,,,,,,,,,,
,18900,,,,,#DIV/0!,0,,,,,,,,,,,,
,18950,3.917,20,3.532,12,0.0516847899,0.0516847899,,,,,,,,,,,,
,19000,,,,,#DIV/0!,0,,,,,,,,,,,,
,19050,,,,,#DIV/0!,0,,,,,,,,,,,,
,19100,,,,,#DIV/0!,0,,,,,,,,,,,,
,19150,,,,,#DIV/0!,0,,,,,,,,,,,,
,19200,4.008,12,3.452,9,0.0745308311,0.0745308311,,,,,,,,,,,,
,19250,,,,,#DIV/0!,0,,,,,,,,,,,,
,19300,,,,,#DIV/0!,0,,,,,,,,,,,,
,19350,,,,,#DIV/0!,0,,,,,,,,,,,,
,19400,3.847,8,3.611,12,0.03164387235,0.03164387235,,,,,,,,,,,,
,19450,3.928,8,3.492,9,0.05876010782,0.05876010782,,,,,,,,,,,,
,19500,,,,,#DIV/0!,0,,,,,,,,,,,,
,19550,,,,,#DIV/0!,0,,,,,,,,,,,,
,19600,,,,,#DIV/0!,0,,,,,,,,,,,,
,19650,,,,,#DIV/0!,0,,,,,,,,,,,,
,19700,,,,,#DIV/0!,0,,,,,,,,,,,,
,19750,,,,,#DIV/0!,0,,,,,,,,,,,,
,19800,,,,,#DIV/0!,0,,,,,,,,,,,,
,19850,3.849,12,3.611,9,0.03190348525,0.03190348525,,,,,,,,,,,,
,19900,,,,,#DIV/0!,0,,,,,,,,,,,,
,19950,,,,,#DIV/0!,0,,,,,,,,,,,,
,20000,,,,,#DIV/0!,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Intensity against Length of Air gap in lines: in further away delay line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Length of Air Gap (mm),"Intensity (volts, then can convert)",error (microvolts),,,,,,,,,,,,,,,,
,0,2.395,317,0.000317,,,,,,,,,,,,,,,
,50,2.394,308,0.000308,,,,,,,,,,,,,,,
,100,2.394,616,0.000616,,,,,,,,,,,,,,,
,150,2.393,316,0.000316,,,,,,,,,,,,,,,
,200,2.393,530,0.00053,,,,,,,,,,,,,,,
,250,2.393,346,0.000346,,,,,,,,,,,,,,,
,300,2.392,372,0.000372,,,,,,,,,,,,,,,
,350,2.392,672,0.000672,,,,,,,,,,,,,,,
,400,2.392,462,0.000462,,,,,,,,,,,,,,,
,450,2.39,531,0.000531,,,,,,,,,,,,,,,
,500,2.39,460,0.00046,,,,,,,,,,,,,,,
