,"Fabry Perot Initial fringes measurements, no amplifiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabry,Path Difference (microns),Errors (microns),Vmax,error in V max,V min,Errror in Vmin,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Redo these Measurements,,,,,,,,,,,,,,,,,,,
,Retaking Contrast with and without the polariser,,,100hz and 7.3V,,,,,,,,,,,,,,,,,,,,,,,,,
,with polariser ,,,,,,,without polariser,,,,,,,,,,,,,,,,,,,,,
,Path difference ,Vmax,error,Vmin,error,Contrast,,Path difference ,Vmax,error,Vmin,error,Contrast,,,,,,,,,,,,,,,,
,0,4.645,25.55,3.092,46.5,0.200723795,,0,6.878,41.38,4.191,52.31,0.242750023,,0,0.200723795,0.242750023,,,,,,,,,,,,
,100,4.783,23.66,2.993,21.77,0.230195473,,100,6.793,50.34,4.333,47.71,0.221103721,,100,0.230195473,0.221103721,,,,,,,,,,,,
,200,4.991,22.23,2.999,43.41,0.24931164,,200,6.762,43.34,4.367,37.56,0.215203522,,200,0.24931164,0.215203522,,,,,,,,,,,,
,300,5.029,43.24,2.908,31.1,0.267229432,,300,6.671,40.96,4.363,37.72,0.209171651,,300,0.267229432,0.209171651,,,,,,,,,,,,
,400,5.078,37.72,2.908,18.99,0.27172552,,400,6.739,48.31,4.414,42.77,0.20846409,,400,0.27172552,0.20846409,,,,,,,,,,,,
,500,4.911,26.64,2.971,40.96,0.246130424,,500,6.719,74.84,4.472,43.51,0.200786346,,500,0.246130424,0.200786346,,,,,,,,,,,,
,600,5.117,43.34,2.751,29.19,0.300711744,,600,7.019,47.55,4.115,28.31,0.260822705,,600,0.300711744,0.260822705,,,,,,,,,,,,
,700,5.556,43.37,2.342,42.84,0.406938465,,700,7.67,20.61,3.432,8.863,0.381733021,,700,0.406938465,0.381733021,,,,,,,,,,,,
,800,5.956,31.1,1.874,8.86,0.521328225,,800,8.187,24.93,2.99,27.26,0.464972712,,800,0.521328225,0.464972712,,,,,,,,,,,,
,900,6.442,37.72,1.356,12.15,0.652218518,,900,8.802,8.667,2.307,8.667,0.584661086,,900,0.652218518,0.584661086,,,,,,,,,,,,
,1000,6.73,34.14,1.009,12.15,0.739242796,,1000,9.062,15.04,2.041,22.23,0.632351617,,1000,0.739242796,0.632351617,,,,,,,,,,,,
,1100,6.463,8.86,1.354,8.86,0.653575541,,1100,8.715,8.667,2.393,8.667,0.569139359,,1100,0.653575541,0.569139359,,,,,,,,,,,,
,1200,6.002,41,1.709,26.04,0.556737129,,1200,8.198,14.86,2.913,8.667,0.475654757,,1200,0.556737129,0.475654757,,,,,,,,,,,,
,1300,5.517,22.15,2.218,12.2,0.426502909,,1300,7.681,22.23,3.403,41.26,0.385961747,,1300,0.426502909,0.385961747,,,,,,,,,,,,
,1400,5.062,37.73,2.72,36.66,0.300950912,,1400,7.176,36.66,3.913,42.52,0.294255569,,1400,0.300950912,0.294255569,,,,,,,,,,,,
,1500,,,,,#DIV/0!,,1500,,,,,#DIV/0!,,1500,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,1600,,,,,#DIV/0!,,1600,,,,,#DIV/0!,,1600,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,1700,,,,,#DIV/0!,,1700,,,,,#DIV/0!,,1700,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,1800,,,,,#DIV/0!,,1800,,,,,#DIV/0!,,1800,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,1900,,,,,#DIV/0!,,1900,,,,,#DIV/0!,,1900,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,2000,,,,,#DIV/0!,,2000,,,,,#DIV/0!,,2000,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,2100,,,,,,,2100,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,,2200,,,,,,,2200,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
